Kártya név	Típus	Birodalom	Klán	Faj	Kaszt	Magnitudó	Aura	ATK	HP	Képesség	Képesség_Canonical	Zóna_Felismerve	Kulcsszavak_Felismerve	Trigger_Felismerve	Célpont_Felismerve	Hatáscímkék	Időtartam_Felismerve	Feltétel_Felismerve	Gépi_Leírás	Értelmezési_Státusz	Engine_Megjegyzés
Rügyező Csemete	Entitás	Terra	Ős-Druidák	Növény	Alap	1	1	0	3	[DOMÍNIUM] Visszhang (Echo): Ha ez az Entitás elpusztul, ahelyett, hogy az Ürességbe kerülne, tedd le képpel lefelé, Kimerült állapotban az Ősforrásodba!	[DOMINIUM] echo: when this dies, put it face down exhausted into your source instead of the graveyard	dominium, source	echo	on_death	self	move_to_source, exhaust	instant	replaces_normal_graveyard_destination_with_face_down_exhausted_source_entry	Ha elpusztul, nem az Ürességbe kerül, hanem képpel lefelé, kimerülten az Ősforrásodba.	osszetett_egyedi	Echo-val összekötött halálhelyettesítés source-ba helyezéssel.
Gyökér-szövő Novícius	Entitás	Terra	Ős-Druidák	Ember	Druida	1	1	1	2	"[DOMÍNIUM] Riadó (Clarion): Kapsz 1 ideiglenes Terra Aurát. Ezen felül, ha a kezedből ""Növény"" Főfajú kártyát teszel az Ősforrásba, a kör végén húzz 1 lapot."	[DOMINIUM] clarion: gain 1 temporary Terra aura; if you place a Plant card from hand into your source this turn, draw 1 at end of turn	dominium, hand, source	clarion	on_summon	self	resource_gain, draw, move_to_source	until_turn_end	if_you_place_a_plant_card_from_hand_into_source_this_turn	Megidézéskor kapsz 1 ideiglenes Terra Aurát, és ha ebben a körben Növény lapot teszel a kezedből az Ősforrásba, a kör végén húzol 1 lapot.	osszetett_egyedi	Clarion + körvégi feltételes húzás source-ba helyezés követésével.
Vadonjáró Őrszem	Entitás	Terra	Ős-Druidák	Ember	Lovag	2	2	1	4	[HORIZONT] Oltalom (Aegis). [ZENIT] Harmonizálás (Harmonize).	horizont aegis; zenit harmonize	horizont, zenit	aegis, harmonize	static	self	blank	static_while_on_board	none	Egyszerre Oltalommal és Harmonizálással rendelkező kettős zónájú entitás.	passziv_vagy_egyszeru	Két natív keyword egy lapon, extra effekt nélkül.
Gombaspóra-Hordozó	Entitás	Terra	Ős-Druidák	Növény	Alap	2	2	1	3	[DOMÍNIUM] Visszhang (Echo): Ha elpusztul, a kiszabaduló spórák minden saját, Horizonton lévő Entitásodnak adnak +1 ATK-t és +1 maximális HP-t a mérkőzés hátralévő részére.	[DOMINIUM] echo: when this dies, all your Horizont entities gain +1 ATK and +1 max HP for the rest of the match	dominium, horizont	echo	on_death	own_horizont_entities	atk_mod, hp_mod	until_match_end	none	Ha elpusztul, minden saját Horizont-entitásod +1 ATK-t és +1 max HP-t kap a mérkőzés végéig.	elso_koros_gepi_ertelmezes	Echo-triggeres tömeges végleges buff.
Életfa-Kertész	Entitás	Terra	Ős-Druidák	Ember	Druida	3	2	1	4	[ZENIT] Rezonancia 2. A saját Manifesztáció fázisodban az előtte álló (vele egy Áramlatban lévő) Entitás véglegesen kap +1 maximális HP-t. (Növekedés fázisról fázisra).	[ZENIT] resonance 2; during your manifestation phase the entity in front of this gains +1 max HP permanently	zenit, horizont	resonance	on_influx_phase	own_horizont_entity	hp_mod	until_match_end	target_is_the_entity_in_front_in_same_lane	Minden saját Manifesztáció fázisban az előtte álló entitás véglegesen +1 max HP-t kap.	osszetett_egyedi	Fázisonként ismétlődő, lane-kötött növekedés.
Tölgyfa-Bölcs	Entitás	Terra	Ős-Druidák	Növény	Mágus	3	3	0	5	[ZENIT] Rezonancia 2. [HORIZONT] Oltalom (Aegis).	zenit resonance 2; horizont aegis	horizont, zenit	aegis, resonance	static	self	blank	static_while_on_board	none	Egyszerre Rezonancia 2-vel és Oltalommal rendelkező kettős zónájú entitás.	passziv_vagy_egyszeru	Két natív keyword egy lapon, extra effekt nélkül.
Gyökérzúzó Troll	Entitás	Terra	Ős-Druidák	Bestia	Alap	3	4	4	4	[HORIZONT] Hasítás (Sundering).	[HORIZONT] sundering	horizont	sundering	static	self	blank	static_while_on_board	none	A Horizonton Hasítással rendelkező egyszerű támadó entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Sziklahátú Medve	Entitás	Terra	Ős-Druidák	Bestia	Alap	4	3	4	5	[HORIZONT] Oltalom (Aegis).	[HORIZONT] aegis	horizont	aegis	static	self	blank	static_while_on_board	none	A Horizonton Oltalommal rendelkező egyszerű védő entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
A Vadon Szószólója	Entitás	Terra	Ős-Druidák	Ember	Druida	4	3	2	4	[ZENIT] Harmonizálás (Harmonize). Ha egy előtte álló Bestia Entitást támogat, a harc idejére a Bestia megkapja a Hasítás (Sundering) kulcsszót.	[ZENIT] harmonize; supported Beast entity gains sundering during combat	zenit, horizont	harmonize	static	own_horizont_entity	grant_keyword	during_combat	supported_entity_must_be_beast	Ha egy előtte álló Bestiát támogat, az a harc idejére megkapja a Hasítás kulcsszót.	osszetett_egyedi	Harmonize mellé fajfüggő ideiglenes keyword-adás.
Mohahátú Védelmező	Entitás	Terra	Ős-Druidák	Bestia	Alap	4	5	3	6	[HORIZONT] Oltalom (Aegis). Ennek az Entitásnak az ATK-ja ellenséges varázslatok által nem csökkenthető 1 alá a harci fázis során.	[HORIZONT] aegis; ATK cannot be reduced below 1 by enemy spells during combat	horizont	aegis	static	self	atk_mod, stat_protection	during_combat	atk_cannot_be_reduced_below_1_by_enemy_spells_during_combat	Oltalommal rendelkezik, és a harci fázisban az ATK-ja ellenséges varázslatokkal nem csökkenthető 1 alá.	elso_koros_gepi_ertelmezes	Statikus combat-védelem natív keyword mellett.
A Földanya Hangja	Entitás	Terra	Ős-Druidák	Ember	Druida	5	4	3	5	[DOMÍNIUM] Riadó (Clarion): Keresd ki a paklidból a legmagasabb Magnitúdójú Bestia vagy Sárkányféle Entitásodat, mutasd meg, és vedd a kezedbe.	[DOMINIUM] clarion: search your deck for your highest magnitude Beast or Dragon entity and put it into your hand	dominium, deck, hand	clarion	on_summon	own_deck	tutor	instant	search_highest_magnitude_beast_or_dragon_entity_in_own_deck	Megidézéskor a paklidból a legmagasabb Magnitúdójú Bestia vagy Sárkány entitást a kezedbe veszed.	osszetett_egyedi	Tutor konkrét rangsorolási feltétellel.
Góliát Fanyűvő	Entitás	Terra	Ős-Druidák	Bestia	Alap	5	6	6	6	[ZENIT] Ez az Entitás nem célozható meg ellenséges Rituálékkal és Igékkel. [DOMÍNIUM] Ha a Zenitből a Horizontra lép, a Gyorsaság (Celerity) kulcsszót kapja arra a körre.	[ZENIT] cannot be targeted by enemy spells; when this moves from Zenit to Horizont, it gains celerity until end of turn	zenit, horizont	blank	on_move_zenit_to_horizont	self	untargetable, grant_keyword	until_turn_end	none	Góliát Fanyűvő Zenitben nem célozható, és ha a Zenitből a Horizontra lép, a kör végéig Gyorsaságot kap.	osszetett_egyedi	Statikus célzásvédelem + movement-triggeres ideiglenes keyword-adás.
Ős-Druida Főpap	Entitás	Terra	Ős-Druidák	Ember	Druida	6	4	4	4	[ZENIT] Amíg itt tartózkodik, az összes 5-ös vagy annál nagyobb Magnitúdójú Bestia Entitásod megidézési költsége 2 Terra Aurával csökken (minimum 1-re).	[ZENIT] while this is in Zenit, your Beast entities with magnitude 5 or more cost 2 less Terra aura to summon	zenit	blank	static	own_entities	cost_mod	static_while_on_board	affects_allied_beast_entities_with_magnitude_gte_5_minimum_cost_1	Amíg a Zenitben van, minden 5-ös vagy nagyobb Magnitúdójú saját Bestia entitásod idézési költsége 2 Terra Aurával csökken.	osszetett_egyedi	Folyamatos költségmódosító Magnitúdó- és fajszűréssel.
Földrengető Behemót	Entitás	Terra	Ős-Druidák	Bestia	Alap	7	7	7	7	[HORIZONT] Hasítás (Sundering). Ha ez az Entitás elpusztít egy ellenséges Entitást a Horizonton, az ellenfélnek fel kell vennie egy lapot a saját Ősforrásából a kezébe (csökkentve a szintjét!).	[HORIZONT] sundering; when this destroys an enemy Horizont entity, opponent takes a card from their source into their hand	horizont, source, hand	sundering	on_combat_damage_dealt	enemy_horizont_entity	source_manipulation	instant	trigger_when_this_destroys_enemy_horizont_entity	Ha elpusztít egy ellenséges Horizont-entitást, az ellenfélnek fel kell vennie egy lapot a saját Ősforrásából a kezébe.	osszetett_egyedi	Különleges forrásmanipuláció ellenfél oldalon, destrukcióhoz kötve.
Pangea Őssárkány	Entitás	Terra	Ős-Druidák	Sárkány	Hős	8	6	8	8	[HORIZONT] Hasítás (Sundering). Gyorsaság (Celerity). [DOMÍNIUM] Riadó (Clarion): Megidézésekor fel kell áldoznod 2 lapot a saját Ősforrásodból.	[HORIZONT] sundering, celerity; [DOMINIUM] clarion: sacrifice 2 cards from your source	horizont, dominium, source	sundering, celerity	on_summon	own_source_card	sacrifice, source_manipulation	instant	must_sacrifice_2_cards_from_own_source_on_summon	Hasítással és Gyorsasággal rendelkezik, és megidézésekor 2 lapot kell feláldoznod a saját Ősforrásodból.	osszetett_egyedi	Két natív keyword + source-áldozási költség Clarionhoz kapcsolva.
Yggdrasil Sarja	Entitás	Terra	Ős-Druidák	Növény	Hős	8	5	5	10	[HORIZONT] Minden köröd végén kap +1 ATK-t és +1 maximális HP-t. Ha a HP-ja eléri a 15-öt, az ellenfél nem blokkolhatja a támadásait.	[HORIZONT] at end of each of your turns this gains +1 ATK and +1 max HP; if its HP reaches 15, its attacks cannot be blocked	horizont	blank	on_turn_end	self	atk_mod, hp_mod, block_restrict	until_match_end	becomes_unblockable_if_hp_reaches_15	Minden saját köröd végén +1 ATK-t és +1 max HP-t kap, és 15 HP-nál az ellenfél nem blokkolhatja a támadásait.	osszetett_egyedi	Önnövekedő permanens buff és küszöbértékes blokkolási tiltás.
Napfény-Gyűjtő	Entitás	Terra	Ős-Druidák	Növény	Mágus	1	1	0	2	[ZENIT] Rezonancia 2. Minden saját Ébredés fázisodban, ha van Növény a Horizontodon, ez a lap visszatölt magának 1 HP-t.	[ZENIT] resonance 2; during each of your awakening phases, if you control a Plant on Horizont, this heals 1 HP	zenit, horizont	resonance	on_next_own_awakening	self	heal	instant	requires_a_plant_on_own_horizont	Minden saját Ébredés fázisban, ha van Növény a Horizontodon, ez a lap 1 HP-t gyógyul.	elso_koros_gepi_ertelmezes	Rezonancia mellett feltételes önheal.
