Kártya név	Típus	Birodalom	Klán	Faj	Kaszt	Magnitudó	Aura	ATK	HP	Képesség	Képesség_Canonical	Zóna_Felismerve	Kulcsszavak_Felismerve	Trigger_Felismerve	Célpont_Felismerve	Hatáscímkék	Időtartam_Felismerve	Feltétel_Felismerve	Gépi_Leírás	Értelmezési_Státusz	Engine_Megjegyzés
Gépiesített Baka	Entitás	Aether	Fogaskerék Szövetség	Kiborg / Alap	Alap	1	1	2	1	[HORIZONT] Nincs képessége.	[HORIZONT] no ability	horizont	blank	static	self	blank	static_while_on_board	none	Nincs külön képessége.	passziv_vagy_egyszeru	Képesség nélküli referencia-lap.
Adaptív Felderítő Drón	Entitás	Aether	Fogaskerék Szövetség	Gépezet / Alap	Alap	1	1	1	1	[DOMÍNIUM] Riadó (Clarion): Megidézésekor választhatsz: a Drón véglegesen kap +1 ATK-t, VAGY véglegesen kap +1 maximális HP-t és az Oltalom (Aegis) kulcsszót. Ha a másodikat választod, a Drón ebben a körben nem indíthat támadást.	[DOMINIUM] clarion: choose one - this gains +1 ATK permanently; or this gains +1 max HP and aegis permanently, then it cannot attack this turn	dominium	clarion, aegis	on_summon	self	atk_mod, hp_mod, grant_keyword, attack_restrict	until_turn_end	chosen_mode_1_or_2	Clarionkor választasz: vagy véglegesen +1 ATK-ot kap, vagy véglegesen +1 max HP-t és Oltalmat, de akkor ebben a körben nem támadhat.	osszetett_egyedi	Választásos Clarion permanens buffokkal és ideiglenes támadási tiltással.
Lopakodó Felcser-Drón	Entitás	Aether	Fogaskerék Szövetség	Gépezet / Pap	Pap	2	2	1	3	[ZENIT] Ez az Entitás nem célozható meg ellenséges Rituálékkal és Igékkel. A saját Manifesztáció fázisodban (körönként egyszer) adhatsz +1 maximális HP-t egy vele azonos Áramlatban lévő, sérült Entitásnak.	[ZENIT] cannot be targeted by enemy spells; during your manifestation phase once per turn, target damaged entity in the same lane gains +1 max HP	zenit, horizont	blank	on_influx_phase	own_entity, enemy_entity	untargetable, hp_mod	static_while_on_board	usable_once_per_turn_during_your_manifestation_phase_and_target_must_be_damaged_entity_in_same_lane	Zenitben nem célozható, és a Manifesztáció fázisodban körönként egyszer egy vele azonos Áramlatban lévő sérült entitás +1 max HP-t kaphat.	osszetett_egyedi	Statikus spell-untargetable és lane-kötött fázis-aktivált buff egy lapon.
Bronzfal Gólem	Entitás	Aether	Fogaskerék Szövetség	Gólem / Lovag	Lovag	2	2	1	4	[HORIZONT] Oltalom (Aegis). Ha ez az Entitás TÁMADÓKÉNT részt vesz egy harcban és túléli azt anélkül, hogy az Ürességbe kerülne, húzz 1 lapot. (Körönként max 1x).	[HORIZONT] aegis; when this attacks in combat and survives, draw 1 once per turn	horizont	aegis	on_combat_damage_dealt	self	draw	instant	triggers_only_if_this_is_the_attacker_and_survives_combat_max_once_per_turn	Oltalommal rendelkezik, és ha támadóként túlél egy harcot, körönként egyszer húzol 1 lapot.	osszetett_egyedi	Támadó szerepkörhöz kötött survive-combat trigger.
Karbantartó Pók-Drón	Entitás	Aether	Fogaskerék Szövetség	Gépezet / Alap	Alap	2	1	1	3	[ZENIT] Harmonizálás (Harmonize).	[ZENIT] harmonize	zenit	harmonize	static	self	blank	static_while_on_board	none	A Zenitben Harmonizálás kulcsszóval rendelkező egyszerű entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Aether-Generátor	Entitás	Aether	Fogaskerék Szövetség	Gépezet / Alap	Alap	3	2	0	4	[ZENIT] Rezonancia 2. Ha az előtte álló (vele egy Áramlatban lévő) Horizont-Entitásod sebzést szenved el, a Generátor elveszíti a Rezonancia képességét az adott kör végéig.	[ZENIT] resonance 2; if the allied Horizont entity in front takes damage, this loses resonance until end of turn	zenit, horizont	resonance	on_combat_damage_taken	self	ability_lock	until_turn_end	trigger_only_if_the_allied_horizont_entity_in_front_takes_damage	Rezonancia 2-t ad, de ha az előtte álló saját Horizont-entitás sebzést szenved, a kör végéig elveszíti a Rezonanciát.	osszetett_egyedi	Keyword ideiglenes elvesztése lane-kötött trigger alapján.
Óramű-Kiborg Zsoldos	Entitás	Aether	Fogaskerék Szövetség	Kiborg / Zsoldos	Zsoldos	3	2	3	3	[HORIZONT] Ha ez az Entitás az egyetlen saját Entitásod a Horizonton, kap +1 ATK-t.	[HORIZONT] if this is your only allied entity on Horizont, it gains +1 ATK	horizont	blank	static	self	atk_mod	static_while_on_board	this_must_be_your_only_allied_entity_on_horizont	Ha ez az egyetlen saját entitásod a Horizonton, +1 ATK-t kap.	elso_koros_gepi_ertelmezes	Egyszerű állapotszámoló statikus buff.
Gőzhajtású Pusztító	Entitás	Aether	Fogaskerék Szövetség	Kiborg / Harcos	Harcos	4	4	4	4	[HORIZONT] Hasítás (Sundering).	[HORIZONT] sundering	horizont	sundering	static	self	blank	static_while_on_board	none	A Horizonton Hasítás kulcsszóval rendelkező egyszerű entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Páncélozott Juggernaut	Entitás	Aether	Fogaskerék Szövetség	Gólem / Harcos	Harcos	4	3	2	5	[HORIZONT] Oltalom (Aegis). Ha ez az Entitás TÁMADÓKÉNT részt vesz egy harcban és túléli azt anélkül, hogy az Ürességbe kerülne, húzz 1 lapot. (Körönként max 1x).	[HORIZONT] aegis; when this attacks in combat and survives, draw 1 once per turn	horizont	aegis	on_combat_damage_dealt	self	draw	instant	triggers_only_if_this_is_the_attacker_and_survives_combat_max_once_per_turn	Oltalommal rendelkezik, és ha támadóként túlél egy harcot, körönként egyszer húzol 1 lapot.	osszetett_egyedi	Támadó survive-combat trigger Aegis mellett.
Titánpáncélos Gólem	Entitás	Aether	Fogaskerék Szövetség	Gólem / Harcos	Harcos	5	5	3	7	[HORIZONT] Oltalom (Aegis). Ha ez az Entitás TÁMADÓKÉNT részt vesz egy harcban és túléli azt, a harc végén VÁLASZTANOD KELL: véglegesen kap +1 maximális HP-t, VAGY húzol 1 lapot. (Körönként max 1x).	[HORIZONT] aegis; when this attacks in combat and survives, choose one - this gains +1 max HP permanently; or draw 1 once per turn	horizont	aegis	on_combat_damage_dealt	self	hp_mod, draw, choice	instant	triggers_only_if_this_is_the_attacker_and_survives_combat_max_once_per_turn	Ha támadóként túlél egy harcot, körönként egyszer választasz: vagy véglegesen +1 max HP-t kap, vagy húzol 1 lapot.	osszetett_egyedi	Választásos survive-combat trigger permanens vagy azonnali jutalommal.
