Kártya név	Típus	Birodalom	Klán	Faj	Kaszt	Magnitudó	Aura	ATK	HP	Képesség	Képesség_Canonical	Zóna_Felismerve	Kulcsszavak_Felismerve	Trigger_Felismerve	Célpont_Felismerve	Hatáscímkék	Időtartam_Felismerve	Feltétel_Felismerve	Gépi_Leírás	Értelmezési_Státusz	Engine_Megjegyzés
Városi Patkányraj	Entitás	Umbra	Árnyékszindikátus	Bestia	Alap	1	1	1	1	[DOMÍNIUM] Visszhang (Echo): Amikor elpusztul, az ellenfélnek el kell dobnia egy véletlenszerű lapot a kezéből az Ürességbe.	[DOMINIUM] echo: when this dies, opponent discards a random card from hand to graveyard	dominium, hand, graveyard	echo	on_death	enemy_hand	random_discard	instant	none	Amikor elpusztul, az ellenfél véletlenszerűen eldob 1 lapot a kezéből az Ürességbe.	elso_koros_gepi_ertelmezes	Egyszerű Echo-triggeres random discard.
Árnyba Burkolt Kém	Entitás	Umbra	Árnyékszindikátus	Ember	Tolvaj	1	1	1	2	[ZENIT] Ez az Entitás nem célozható meg ellenséges Rituálékkal és Igékkel. Minden alkalommal, amikor egy saját Jeled (Csapdád) aktiválódik, a Kém kap +1 ATK-t a kör végéig.	[ZENIT] cannot be targeted by enemy spells; whenever one of your traps triggers, this gains +1 ATK until end of turn	zenit	blank	on_trap_triggered	self	untargetable, atk_mod	until_turn_end	none	Zenitben nem célozható meg ellenséges varázslatokkal, és saját Jel aktiválódásakor +1 ATK-t kap a kör végéig.	osszetett_egyedi	Statikus védelem és trap-triggeres ideiglenes önbuff.
Tőrtáncos Orgyilkos	Entitás	Umbra	Árnyékszindikátus	Ember	Orgyilkos	2	2	2	2	[HORIZONT] Métely (Bane).	[HORIZONT] bane	horizont	bane	static	self	blank	static_while_on_board	none	A Horizonton Métely kulcsszóval rendelkező egyszerű támadó entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Éjszemű Varjú	Entitás	Umbra	Árnyékszindikátus	Bestia	Alap	2	3	1	4	[ZENIT] Harmonizálás (Harmonize). Ez az Entitás nem célozható meg ellenséges Rituálékkal és Igékkel.	[ZENIT] harmonize; cannot be targeted by enemy spells	zenit	harmonize	static	self	untargetable	static_while_on_board	none	Harmonizálást ad, és a Zenitben nem célozható meg ellenséges varázslatokkal.	osszetett_egyedi	Natív keyword mellé statikus célzásvédelem társul.
Az Árnyékok Szeme	Entitás	Umbra	Árnyékszindikátus	Szellem	Mágus	2	1	0	3	[ZENIT] Rezonancia 2. Amíg a Zenitben van, láthatod az ellenfél összes lefordított Jel (Csapda) kártyáját.	[ZENIT] resonance 2; while in Zenit you may see all enemy face-down traps	zenit	resonance	static	enemy_entities	ability_lock	static_while_on_board	none	Rezonancia 2-t ad, és a Zenitből láthatóvá teszi az ellenfél összes lefordított Jelét.	osszetett_egyedi	Rejtett információ felfedését adó statikus szabály.
Szindikátusi Zsaroló	Entitás	Umbra	Árnyékszindikátus	Ember	Tolvaj	2	2	2	2	[DOMÍNIUM] Riadó (Clarion): Az ellenfélnek választania kell: vagy elforgat (Kimerít) 1 Aktív Aurát az Ősforrásában, VAGY te húzhatsz 1 lapot.	[DOMINIUM] clarion: opponent chooses - exhaust 1 active source aura, or you draw 1	dominium, source, deck	clarion	on_summon	source_card, self	exhaust, draw, choice	instant	opponent_chooses_one_of_two_modes	Megidézéskor az ellenfél választ: vagy kimerít 1 Aktív Aurát a Forrásában, vagy te húzol 1 lapot.	osszetett_egyedi	Választásos Clarion forráskezeléssel vagy húzással.
Néma Bérgyilkos	Entitás	Umbra	Árnyékszindikátus	Ember	Orgyilkos	3	2	3	1	[ZENIT] Ez az Entitás nem célozható meg ellenséges Rituálékkal és Igékkel. [DOMÍNIUM] Ha ez az Entitás a Zenitből a Horizontra lép a támadás körében, az ellenfél nem célozhatja meg Igékkel a harc során.	[ZENIT] cannot be targeted by enemy spells; if this moves from Zenit to Horizont in the turn it attacks, enemy cannot target it with spells during combat	zenit, horizont	blank	on_move_zenit_to_horizont	self	untargetable	during_combat	if_this_moves_from_zenit_to_horizont_in_the_turn_it_attacks	Zenitben nem célozható meg, és ha a támadás körében előrelép a Horizontra, a harc során az ellenfél nem célozhatja meg Igékkel.	osszetett_egyedi	Két zónához kötött célzásvédelmi szabály.
Szindikátusi Csapdamester	Entitás	Umbra	Árnyékszindikátus	Ember	Mágus	3	2	2	3	[ZENIT] Rezonancia 2. Amíg itt tartózkodik, minden Jel (Csapda) kártyád lehelyezési költsége 1 Umbra Aurával csökken (minimum 0-ra).	[ZENIT] resonance 2; while in Zenit your trap cards cost 1 less to place	zenit	resonance	static	self	cost_mod	static_while_on_board	affects_own_trap_cards_minimum_cost_0	Rezonancia 2-t ad, és a Zenitből 1 Umbra Aurával csökkenti a saját Jelek lehelyezési költségét.	osszetett_egyedi	Trap-költségcsökkentő folyamatos aura Rezonanciával.
Árnyék-közvetítő	Entitás	Umbra	Árnyékszindikátus	Ember	Nemes	3	3	2	4	[ZENIT] Harmonizálás (Harmonize). Amíg itt van, az előtte álló Entitás támadásakor az ellenfél nem aktiválhat olyan Jelet, amelynek Magnitúdója 3 vagy kisebb.	[ZENIT] harmonize; while here, when the supported entity attacks, opponent cannot activate traps with magnitude 3 or less	zenit, horizont	harmonize	on_attack_declared	own_horizont_entity, enemy_entities	ability_lock	during_combat	applies_only_while_supported_front_entity_attacks_and_blocks_enemy_traps_with_magnitude_lte_3	Harmonizálást ad, és a támogatott entitás támadásakor az ellenfél nem aktiválhat 3-as vagy kisebb Magnitúdójú Jeleket.	osszetett_egyedi	Harmonize mellé triggerelt trap-tiltás társul.
Arctalan Végrehajtó	Entitás	Umbra	Árnyékszindikátus	Ember	Harcos	4	4	4	3	[DOMÍNIUM] Riadó (Clarion): Ha megidézésekor van legalább egy lefordított Jeled a Zenitben, megkapja a Gyorsaság (Celerity) kulcsszót.	[DOMINIUM] clarion: if you have at least one face-down trap in Zenit, this gains celerity	dominium, zenit	clarion	on_summon	self	grant_keyword	static_while_on_board	requires_at_least_one_face_down_own_trap_in_zenit_on_summon	Megidézéskor, ha van legalább egy lefordított Jeled a Zenitben, megkapja a Gyorsaság kulcsszót.	osszetett_egyedi	Feltételes Clarion keyword-adás rejtett trap ellenőrzéssel.
