Kártya név	Típus	Birodalom	Klán	Faj	Kaszt	Magnitudó	Aura	ATK	HP	Képesség	Képesség_Canonical	Zóna_Felismerve	Kulcsszavak_Felismerve	Trigger_Felismerve	Célpont_Felismerve	Hatáscímkék	Időtartam_Felismerve	Feltétel_Felismerve	Gépi_Leírás	Értelmezési_Státusz	Engine_Megjegyzés
Szelek Szárnyán Járó	Entitás	Ventus	Viharhozók	Ember	Harcos	1	1	1	2	[HORIZONT] Gyorsaság (Celerity)	[HORIZONT] celerity	horizont	celerity	static	self	blank	static_while_on_board	none	A Horizonton Gyorsaság kulcsszóval rendelkező egyszerű entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Ciklonlovas Cserkész	Entitás	Ventus	Viharhozók	Ember	Kósza	1	1	1	1	[HORIZONT] Gyorsaság (Celerity). [DOMÍNIUM] Ha ez az Entitás egy varázslat vagy képesség hatására Kimerült (elforgatott) állapotból újra Aktív állapotba kerül, húzz 1 lapot a paklidból.	[HORIZONT] celerity; [DOMINIUM] when this becomes ready from exhausted by a spell or ability, draw 1	horizont, dominium, deck	celerity	on_ready_from_exhausted	self	draw	instant	trigger_only_if_this_is_readied_from_exhausted_by_spell_or_ability	Gyorsaságos entitás, amely húz 1 lapot, ha varázslat vagy képesség hatására újra Aktív lesz.	osszetett_egyedi	Ready-from-exhausted trigger spell/ability forrásszűréssel.
Villámlépésű Kardforgató	Entitás	Ventus	Viharhozók	Ember	Szamuráj	2	2	2	2	[HORIZONT] Ha ezt az Entitást egy varázslat hatására Kimerült állapotból újra Aktív állapotba forgatod, kap +1 ATK-t az adott kör végéig.	[HORIZONT] when this is readied from exhausted by a spell, it gains +1 ATK until end of turn	horizont	blank	on_ready_from_exhausted	self	atk_mod	until_turn_end	trigger_only_if_this_is_readied_from_exhausted_by_spell	Ha ezt az entitást egy varázslat Kimerültből újra Aktívvá teszi, +1 ATK-t kap a kör végéig.	elso_koros_gepi_ertelmezes	Egyszerű ready-triggeres ideiglenes önbuff.
Szelek Útmutatója	Entitás	Ventus	Viharhozók	Ember	Pap	2	1	2	2	[DOMÍNIUM] Riadó (Clarion): Amikor megidézed, ha van olyan Entitás a kezedben, amely ebben a körben került vissza a pályáról (bounce), azt megidézheted 1 Aurával olcsóbban.	[DOMINIUM] clarion: if you have an entity in hand that returned from board this turn, you may summon it for 1 less aura	dominium, hand	clarion	on_summon	own_hand	cost_mod	until_turn_end	target_must_be_entity_in_hand_that_returned_from_board_this_turn	Clarionkor egy ebben a körben visszabounce-olt kézben lévő entitást 1 Aurával olcsóbban idézhetsz meg.	osszetett_egyedi	Bounce-history követéshez kötött célzott költségcsökkentés.
Szelekszárnyú Íjász	Entitás	Ventus	Viharhozók	Ember	Vadász	2	2	2	2	[ZENIT] Harmonizálás (Harmonize). Amikor a vele egy Áramlatban, előtte álló támogatott Entitás a Horizonton befejezi a támadását, visszaveheted az Íjászt a Zenitből a kezedbe, hogy az elöl lévő Entitás azonnal újra Aktív állapotba kerüljön!	[ZENIT] harmonize; when the supported entity finishes its attack, you may return this to hand to ready that entity	zenit, horizont, hand	harmonize	on_attack_hits	self, own_horizont_entity	return_to_hand, ready	instant	trigger_only_if_supported_front_entity_finishes_its_attack_in_same_lane	Harmonizálást ad, és a támogatott entitás támadása után kézbe veheted ezt a lapot, hogy az elöl lévő entitás újra Aktív legyen.	osszetett_egyedi	Támogatott támadóhoz kötött önbounce és ready-effekt.
Ciklon-Idéző Sámán	Entitás	Ventus	Viharhozók	Ember	Sámán	3	2	1	4	[ZENIT] Harmonizálás (Harmonize). Amíg ez az Entitás a Zenitben tartózkodik, minden saját köröd Eloszlás fázisában (kör végén) választhatsz egy saját, Kimerült állapotú Entitást a Horizonton, és visszaállíthatod Aktív állapotba.	[ZENIT] harmonize; at the end of each of your turns, you may ready a target exhausted allied Horizont entity	zenit, horizont	harmonize	on_turn_end	own_horizont_entity	ready	instant	target_must_be_exhausted_allied_horizont_entity	Amíg a Zenitben van, minden saját köröd végén visszaállíthatsz Aktív állapotba egy saját Kimerült Horizont-entitást.	osszetett_egyedi	Ismétlődő körvégi ready-effekt zónaszűrt célpontra.
Mennydörgés Sólyom	Entitás	Ventus	Viharhozók	Szárnyas Bestia	Alap	3	3	3	3	[HORIZONT] Légies (Ethereal). Ha ez az Entitás sikeresen áttör egy Pecsétet (Wards), a tulajdonosa azonnal visszaveheti a Sólymot a kezébe, megmentve őt a következő körös ellentámadástól.	[HORIZONT] ethereal; when this successfully breaks a seal, you may return it to hand	horizont, hand	ethereal	on_seal_break	self	return_to_hand	instant	none	Légies entitás, amely sikeres pecséttörés után visszavehető a kézbe.	elso_koros_gepi_ertelmezes	Egyszerű seal-break triggeres önbounce.
Viharhozó Dobos	Entitás	Ventus	Viharhozók	Ember	Harcos	3	2	1	4	[ZENIT] Rezonancia 2. Minden alkalommal, amikor egy saját Entitásod a pályáról visszakerül a kezedbe, a Dobos lendületet ad: kap +1 maximális HP-t a mérkőzés hátralévő részére.	[ZENIT] resonance 2; whenever your entity returns from board to hand, this gains +1 max HP permanently	zenit, hand	resonance	on_bounce	self	hp_mod	until_match_end	trigger_when_an_allied_entity_returns_from_board_to_hand	Rezonancia 2-t ad, és minden saját boardról kézbe visszakerülő entitás után +1 max HP-t kap véglegesen.	osszetett_egyedi	Bounce-triggeres permanens önbuff.
Légáramlat-Gólem	Entitás	Ventus	Viharhozók	Gólem	Alap	4	3	3	4	[HORIZONT] Oltalom (Aegis). [DOMÍNIUM] Riadó (Clarion): Amikor megidézed, választhatsz egy saját Kimerült Entitást a Horizonton, és azonnal visszaállíthatod Aktív állapotba.	[HORIZONT] aegis; [DOMINIUM] clarion: ready target exhausted allied Horizont entity	horizont, dominium	aegis, clarion	on_summon	own_horizont_entity	ready	instant	target_must_be_exhausted_allied_horizont_entity	Oltalommal rendelkező entitás, amely Clarionkor egy saját Kimerült Horizont-entitást újra Aktívvá tesz.	elso_koros_gepi_ertelmezes	Natív keyword + egyszerű Clarion ready.
Hurrikán Gólem	Entitás	Ventus	Viharhozók	Gólem	Alap	4	4	3	5	[HORIZONT] Oltalom (Aegis). Amikor ez az Entitás blokkol egy támadást és túléli a harcot, a támadó ellenséges Entitás azonnal visszakerül a tulajdonosa kezébe (a kiosztott sebzésektől függetlenül).	[HORIZONT] aegis; when this blocks and survives, return the attacking enemy entity to its owner's hand	horizont, hand	aegis	on_block_survived	enemy_entity	return_to_hand	instant	none	Oltalommal rendelkező entitás, amely sikeres túlélő blokkolás után kézbe küldi vissza a támadót.	osszetett_egyedi	Blokkot túlélő védőhöz kötött bounce.
Villámkarmú Ragadozó	Entitás	Ventus	Viharhozók	Bestia	Alap	4	4	4	3	[HORIZONT] Légies (Ethereal). Amikor ez az Entitás a Betörés fázisban támad, a támadás után azonnal visszaáll Aktív állapotba. Ebben a körben még egyszer támadhat, de a második támadás után a következő köröd Ébredés fázisában nem állhat vissza Aktív állapotba.	[HORIZONT] ethereal; when this attacks, ready it after combat so it may attack again this turn, but after the second attack it does not ready on your next awakening	horizont	ethereal	on_attack_hits	self	ready, attack_restrict	next_own_awakening	after_the_second_attack_this_turn_it_does_not_ready_on_next_own_awakening	Légies entitás, amely első támadása után újra Aktív lesz és még egyszer támadhat, de a második után a következő Ébredéskor nem áll vissza Aktívra.	osszetett_egyedi	Többlépcsős extra attack engine-logika késleltetett ready-tiltással.
